Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418384070,2087352129430725,0.009587673,-0.046873067,-0.017044751
android.sensor.gyroscope,1538418384085,2087352149325935,-0.0042611877,-0.014914157,-0.026632423
android.sensor.gyroscope,1538418384095,2087352169216614,0.019175345,0.0042611877,-0.039415985
android.sensor.gyroscope,1538418384115,2087352189216408,0.054330144,-0.012783563,-0.034089502
android.sensor.gyroscope,1538418384135,2087352208989431,0.04793836,-0.015979454,-0.009587673
android.sensor.gyroscope,1538418384154,2087352229002037,0.034089502,-0.02769772,-0.0010652969
android.sensor.gyroscope,1538418384178,2087352248794852,0.023436533,-0.018110048,-0.0042611877
android.sensor.gyroscope,1538418384195,2087352268655895,0.01065297,-0.0031958907,-0.005326485
android.sensor.gyroscope,1538418384214,2087352288555116,0.009587673,-0.005326485,-0.01384886
android.sensor.gyroscope,1538418384234,2087352308461941,0.02450183,-0.0063917814,-0.029828314
android.sensor.gyroscope,1538418384254,2087352328334026,0.040481284,0.0085223755,-0.026632423
android.sensor.gyroscope,1538418384274,2087352348317101,0.019175345,-0.0063917814,-0.0042611877
android.sensor.gyroscope,1538418384293,2087352368116582,-0.0074570784,-0.011718267,-0.012783563
android.sensor.gyroscope,1538418384313,2087352387988876,-0.0074570784,0.028763017,0.0
android.sensor.gyroscope,1538418384334,2087352407988097,0.0085223755,0.068179004,0.015979454
android.sensor.gyroscope,1538418384354,2087352427986640,-0.0010652969,0.05219955,0.009587673
android.sensor.gyroscope,1538418384374,2087352447811746,-0.05539544,0.07350549,0.035154797
android.sensor.gyroscope,1538418384395,2087352467809352,-0.10972559,0.10759499,0.10972559
android.sensor.gyroscope,1538418384415,2087352487598990,-0.07457078,0.09907261,0.21305938
android.sensor.gyroscope,1538418384436,2087352507375607,-0.023436533,0.08309316,0.3813763
android.sensor.gyroscope,1538418384453,2087352527295921,0.08309316,-0.0085223755,0.61787224
android.sensor.gyroscope,1538418384473,2087352547120819,0.33343795,-0.46979594,1.1696961
android.sensor.gyroscope,1538418384493,2087352566994987,0.6540923,-1.1025823,1.8056782
android.sensor.gyroscope,1538418384512,2087352586884208,0.75209963,-1.4796975,2.2616253
android.sensor.gyroscope,1538418384532,2087352606770720,0.10972559,-0.9960526,2.3266084
android.sensor.gyroscope,1538418384554,2087352626665775,-1.3603842,0.8426499,2.001693
android.sensor.gyroscope,1538418384573,2087352646709579,-2.579084,2.6451323,1.8749226
android.sensor.gyroscope,1538418384594,2087352666577914,-2.640871,2.7857516,2.353241
android.sensor.gyroscope,1538418384612,2087352686325989,-1.6309696,1.9899746,3.1554096
android.sensor.gyroscope,1538418384632,2087352706218595,-0.26952013,1.7705235,3.221458
android.sensor.gyroscope,1538418384652,2087352726220524,0.6317211,2.1369855,2.2477765
android.sensor.gyroscope,1538418384673,2087352746163495,1.0173585,1.7833071,1.13028
android.sensor.gyroscope,1538418384694,2087352766430059,1.3049887,1.0248157,0.56673795
android.sensor.gyroscope,1538418384714,2087352785781884,2.0720026,0.25034478,0.5315832
android.sensor.gyroscope,1538418384732,2087352805679178,3.3056164,-0.47192654,0.16938221
android.sensor.gyroscope,1538418384752,2087352825675899,4.154658,-0.9768773,-1.0130974
android.sensor.gyroscope,1538418384775,2087352846674442,4.130156,-0.81601745,-1.7374994
android.sensor.gyroscope,1538418384794,2087352866797205,4.130156,-0.88419646,-1.9196651
android.sensor.gyroscope,1538418384814,2087352886787675,4.345346,-1.9601463,-1.9079468
android.sensor.gyroscope,1538418384834,2087352906631792,4.3027344,-3.146887,-2.04537
android.sensor.gyroscope,1538418384852,2087352925252627,3.9266846,-3.8084366,-2.1295285
android.sensor.gyroscope,1538418384871,2087352944902837,3.6795356,-4.7043514,-2.0549579
android.sensor.gyroscope,1538418384891,2087352964942110,3.6315973,-5.2338037,-2.034717
android.sensor.gyroscope,1538418384911,2087352984836435,3.5889854,-4.6478906,-1.6735815
android.sensor.gyroscope,1538418384931,2087353004674771,3.3993626,-4.4039373,-1.1696961
android.sensor.gyroscope,1538418384952,2087353024821960,2.8858893,-5.115556,-0.4133352
android.sensor.gyroscope,1538418384972,2087353044433004,2.368155,-6.5228133,0.44209823
android.sensor.gyroscope,1538418384993,2087353064240714,2.1433775,-6.909516,1.0141627
android.sensor.gyroscope,1538418385013,2087353084193008,1.4115185,-5.3797493,0.8650211
android.sensor.gyroscope,1538418385029,2087353104017228,-0.005326485,-3.591116,0.936396
android.sensor.gyroscope,1538418385049,2087353123997959,-1.0141627,-3.5516999,1.8813144
android.sensor.gyroscope,1538418385070,2087353143910774,-1.0003139,-4.654282,2.9838967
android.sensor.gyroscope,1538418385090,2087353163783224,-0.9790079,-4.2057924,3.691254
android.sensor.gyroscope,1538418385109,2087353183563747,-1.922861,-2.1902504,3.691254
android.sensor.gyroscope,1538418385129,2087353203494061,-3.2438293,-0.50388545,3.4302561
android.sensor.gyroscope,1538418385149,2087353223332969,-3.7114944,0.95450604,3.1159935
android.sensor.gyroscope,1538418385169,2087353243215003,-3.8915298,1.9335139,2.8965423
android.sensor.gyroscope,1538418385188,2087353263115109,-4.3996763,1.704475,2.686679
android.sensor.gyroscope,1538418385208,2087353282998757,-4.456137,1.180349,2.5908022
android.sensor.gyroscope,1538418385228,2087353302991311,-4.16105,2.795339,2.2158177
android.sensor.gyroscope,1538418385249,2087353322945479,-4.21538,4.6020827,1.9686687
android.sensor.gyroscope,1538418385268,2087353342787825,-4.1994004,3.9522517,2.2477765
android.sensor.gyroscope,1538418385289,2087353362554806,-2.8901505,2.5641696,2.6760259
android.sensor.gyroscope,1538418385309,2087353382450850,-1.4189755,3.0371616,2.3670897
android.sensor.gyroscope,1538418385333,2087353402458716,-1.3220335,4.8162074,1.6245779
android.sensor.gyroscope,1538418385352,2087353422393875,-1.1920673,4.997308,1.503134
android.sensor.gyroscope,1538418385369,2087353442323460,0.49855897,3.0829694,1.6576021
android.sensor.gyroscope,1538418385390,2087353462165858,2.1700099,1.6373614,1.0312074
android.sensor.gyroscope,1538418385416,2087353482095443,1.8759879,2.6035857,-0.89698005
android.sensor.gyroscope,1538418385428,2087353501775393,0.23543063,4.391154,-2.1849241
android.sensor.gyroscope,1538418385449,2087353521668103,0.19921052,4.075826,-1.442412
android.sensor.gyroscope,1538418385469,2087353541814668,1.6576021,2.1625528,-0.38883337
android.sensor.gyroscope,1538418385490,2087353561592170,2.059219,1.4615874,-0.050068956
android.sensor.gyroscope,1538418385510,2087353581436286,0.9726161,1.7321728,-0.29508725
android.sensor.gyroscope,1538418385527,2087353601226184,-0.06604841,1.5052645,-0.22797355
android.sensor.gyroscope,1538418385547,2087353621115092,-0.243953,0.50814664,0.46127358
android.sensor.gyroscope,1538418385568,2087353641152334,0.21412468,-0.13422741,1.0375992
android.sensor.gyroscope,1538418385588,2087353661123273,0.5582156,0.07670138,1.0216198
android.sensor.gyroscope,1538418385608,2087353681020775,0.36007038,0.3824416,0.71055305
android.sensor.gyroscope,1538418385628,2087353700826454,-0.25567126,0.07457078,0.76168734
android.sensor.gyroscope,1538418385649,2087353720564894,-0.43357584,-0.44209823,0.5880439
android.sensor.gyroscope,1538418385667,2087353740452708,-0.6125457,-0.1043991,0.25247538
android.sensor.gyroscope,1538418385687,2087353760486408,-0.7350549,0.5315832,0.0042611877
